tab 	locations														
age	age_high	age_low	age_unit	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w				
1719	1726	1712	Ma	Intrusive:Igneous	26.268	26.116	Diabase	Gwalior	Outcrop	78.232	78.079				
>>>>>>>>>>															
tab 	samples														
azimuth	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	lithologies	method_codes	sample	site	result_quality				
267	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-37	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-1A	I1936	g				
252	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-68	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-2A	I1936	g				
307	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-65	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-3a	I1936	g				
272	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-45	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-4A	I1936	g				
285	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-40	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-6A	I1936	g				
281	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-40	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-7A	I1936	g				
232	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-40	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-8A	I1936	g				
70	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-22	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1937-1A	I1937	g				
71	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-22	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1937-2a	I1937	g				
93	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-10	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1937-3A	I1937	g				
95	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-12	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1937-4A	I1937	g				
73	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-20	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1937-6A	I1937	g				
63	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-21	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1937-7A	I1937	g				
108	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-5	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1937-8A	I1937	g				
321	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-49	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-1a	I1938	g				
312	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-60	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-3A	I1938	g				
260	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-41	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-4A	I1938	g				
254	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-42	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-5a	I1938	g				
254	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-45	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-6a	I1938	g				
249	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-43	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-7a	I1938	g				
266	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-22	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-8a	I1938	g				
313	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-21	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1938-9a	I1938	g				
89	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-66	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-1A	I1939	g				
94	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-63	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-3a	I1939	g				
99	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-48	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-4a	I1939	g				
106	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-77	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-5a	I1939	g				
98	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-47	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-6a	I1939	g				
105	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-64	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-7a	I1939	g				
102	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-64	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-8a	I1939	g				
82	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-47	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1939-2a	I1939	g				
17	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-41	Sedimentary	Baked Rock	Limestone	LP-DIR-T	I222-1	I222	g				
355	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-41	Sedimentary	Baked Rock	Limestone	LP-DIR-T	i222-2	I222	g				
16	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-52	Sedimentary	Baked Rock	Limestone	LP-DIR-T	i222-3	I222	g				
33	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-19	Sedimentary	Baked Rock	Limestone	LP-DIR-T	i222-4	I222	g				
9	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-15	Sedimentary	Baked Rock	Limestone	LP-DIR-T	i222-5	I222	g				
329	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-67	Sedimentary	Baked Rock	Limestone	LP-DIR-T	i222-6	I222	g				
252	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-68	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1936-2B	I1936	g				
285	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-40	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1936-6B	I1936	g				
232	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-40	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	1936-8b	I1936	g				
71	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-22	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1937-2B	I1937	g				
95	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-12	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1937-4B	I1937	g				
73	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-20	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1937-6z	I1937	g				
108	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-5	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	i1937-8b	I1937	g				
312	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-60	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1938-3B	I1938	g				
260	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-41	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1938-4B	I1938	g				
254	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-42	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	i1938-5b	I1938	g				
254	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-45	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1938-6b	I1938	g				
266	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-22	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1938-8B	I1938	g				
313	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-69	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1938-9B	I1938	g				
89	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-66	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-1B	I1939	g				
94	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-63	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-3B	I1939	g				
99	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-48	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-4B	I1939	g				
98	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-47	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-6B	I1939	g				
102	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-64	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-8b	I1939	g				
82	0	90	https://doi.org/10.1016/j.gr.2023.08.004	-47	Intrusive:Igneous	Sill	Diabase	LP-DIR-AF	I1939-2B	I1939	g				
>>>>>>>>>>															
tab 	specimens														
citations	experiments	geologic_classes	geologic_types	lithologies	method_codes	sample	specimen	volume	result_quality						
https://doi.org/10.1016/j.gr.2023.08.004	I1936-1A-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-1A	I1936-1A	1.10E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1936-2A-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-2A	I1936-2A	1.10E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1936-3a-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-3a	I1936-3a	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1936-4A-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-4A	I1936-4A	1.10E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1936-6A-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-6A	I1936-6A	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1936-7A-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-7A	I1936-7A	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1936-8A-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1936-8A	I1936-8A	1.13E-05	g						
https://doi.org/10.1016/j.gr.2023.08.004	I1937-1A-LP-DIR-T	Intrusive:Igneous	Sill	Diabase	LP-DIR-T	I1937-1A	I1937-1A	1.13E-05	g						
